IngredientAName,IngredientBName,Severity,Description,Recommendation
Warfarin,Aspirin,High,زيادة خطر النزيف بشكل كبير عند استخدامهما معاً.,تجنب الجمع بينهما إلا تحت إشراف طبي صارم مع مراقبة INR.
Sildenafil,Nitroglycerin,High,انخفاض حاد وخطير في ضغط الدم قد يؤدي للوفاة.,يمنع منعاً باتاً استخدامهما معاً.
Atorvastatin,Clarithromycin,Medium,زيادة خطر الإصابة باعتلال العضلات (Myopathy) أو انحلال العضلات.,يفضل إيقاف الأتورفاستاتين مؤقتاً أثناء العلاج بالمضاد الحيوي.
Simvastatin,Clarithromycin,High,زيادة كبيرة في مستويات السيمفاستاتين وخطر انحلال العضلات.,تجنب الجمع بينهما.
Metformin,Contrast Media,High,خطر الإصابة بحماض لاكتيكي (Lactic Acidosis) وفشل كلوي.,يجب إيقاف الميتفورمين قبل يومين من إجراء الأشعة المقطعية بالصبغة.
Ciprofloxacin,Theophylline,Medium,زيادة مستويات الثيوفيلين في الدم مما قد يسبب تسمماً.,مراقبة مستويات الثيوفيلين وتقليل الجرعة إذا لزم الأمر.
Ibuprofen,Aspirin,Low,تقليل التأثير الواقي للأسبرين على القلب.,تناول الأسبرين قبل الإيبوبروفين بـ 30 دقيقة أو بعده بـ 8 ساعات.
Amlodipine,Simvastatin,Medium,زيادة مستويات السيمفاستاتين.,لا تتجاوز جرعة السيمفاستاتين 20 ملجم يومياً.
Digoxin,Furosemide,Medium,زيادة خطر تسمم الديجوكسين بسبب نقص البوتاسيوم الناتج عن المدر.,مراقبة مستويات البوتاسيوم بانتظام.
Spironolactone,Lisinopril,Medium,خطر ارتفاع مستويات البوتاسيوم في الدم (Hyperkalemia).,مراقبة مستويات البوتاسيوم والوظائف الكلوية.
Sertraline,Tramadol,High,زيادة خطر الإصابة بمتلازمة السيروتونين الخطيرة.,تجنب الجمع بينهما أو المراقبة اللصيقة جداً.
Fluoxetine,Tramadol,High,زيادة خطر الإصابة بمتلازمة السيروتونين الخطيرة.,تجنب الجمع بينهما.
Azithromycin,Amiodarone,High,زيادة خطر إطالة فتره QT واضطرابات نظم القلب.,تجنب الجمع بينهما.
Ciprofloxacin,Multivitamins,Medium,المعادن في الفيتامينات تقلل من امتصاص المضاد الحيوي.,فصل الجرعات بمدة لا تقل عن ساعتين.
Amoxicillin,Methotrexate,Medium,تقليل طرح الميثوتركسات مما يزيد من سميته.,مراقبة مستويات الميثوتركسات.
Omeprazole,Clopidogrel,Medium,الأوميبرازول قد يقلل من فعالية الكلوبيدوجريل في منع التجلط.,يفضل استخدام البانتوبرازول كبديل.
